code,name,vendor_code,color,price,stock,sizes
Т38,"Черные трусики утяжка, размер free (46-50). Код: Т38",3308,разные,120,14,free
Т39,"Мужские новогодние трусы, XL, 2XL, 3XL, 4XL. Код: Т39",YA3903 0110,разные,110,13,XL
Т40,"Трусы боксеры Under Armour, XL, 2XL. Код: Т40",119,"син,чер,сер",95,13,XL
Т43,Мужские семейные трусы больших размеров. Код: Т43,973,разные,90,13,5XL
Т46,"Мужские трусы плавки, один размер. Код: Т46",GT M4,разные цвета,50,15,S
Т47,"Черные кружевные стринги в стиле VS, M, L, XL. Код: Т47",1235,разные,250,24,кр.XL
Т48,"Черные прозрачные трусики стринг, р.44-46. Код: Т48",897,черный,125,13,44-46
Т51,"Трусики стринги, размеры S, M, L",Tant 07,разные цвета,30,17,S
Т53,"Трусики, ХL, 2ХL, 3ХL, 4ХL. Код: Т53",813-1,микс,90,12,
Т54,"Трусики женские, 3XL, 4XL, 5XL. Код: Т54",6901,микс,105,14,сир.3XL
Т57,"Трусики, размер 44-46 (M)",GT19SH,белые в малиновую звездочку,35,14,M
Т62,"Боксёры бамбук Секс Камасутра, 3XL, 4XL. Код: Т62",9068,"сер,жел,гол",140,14,г.3XL
Т67,Трусы стринги кружевные,---,"чёрный, белый",30,16,ч M
Т68,Мужские трусы боксёры 6XL. Код: Т68,"#5011, 60195",синие,120,13,6XL
Т69,Трусики эротические с брюликом. Код: Т69,с02,чорний,95,13,free
Т70,Трусы для мальчиков 3-6 лет,7656т,разные цвета,25,13,1
Т71,"Мужские трусы боксеры, L, XL, 2XL, 3XL. Код: Т71",G-3124,разные,120,14,2XL
Т72,Трусики подростковые с леоп.вставкой (42-44),56,разные цвета,20,14,мал.S
Т74,Боксёры для мальчиков 9-14 лет,2782т,"серый, черный, белый",35,13,1
Т75,Трусики бразильяны х/б с V-образной линией талии. Код: Т75,B002_чорний,черный,90,13,L
Т76,"Трусики в стиле VS, 4 расцветки, M, L, XL. Код: Т76",903,"черн,крас,бел,малин",250,14,бел.L
Т77,"Трусики в стиле Victoria's Secret, M, L, XL. Код: Т77","1257, 3477","мол,черн,крас,черн-бел",250,16,ч-б.L
Т80,Белые стринги AnnaJolly ажурные. Код: Т80,7313,"белый,крас",160,18,б.S
Т81,Трусики кружевные спереди х/б,39135,белый (МАЛОМЕРЯТ),50,13,L
Т85,"Трусики-танга в стиле VS, в черном цвете. Код: Т85",909,черн,220,13,чер.M
Т86,Мужские Боксеры стрейчевые бамбук,"INS-254, INS-209","крупная, мелкая клетка",75,13,4XL
Т87,Мужские боксеры стрейчевые (баталы),INS-135,"чёрные, серые, синие",75,13,7XL
Т88,"Трусики, ассорти цветов, 2XL, 3XL, 4XL. Код: Т88",8818,разные,130,13,беж.4XL
Т91,Плавки подростковые х/б (Германия),,"голубой, темно-синий",65,14,L
Т92,Женские трусы с утяжкой живота белые,3XL-4XL,белый,90,13,р.54-56
Т93,"Кружевные женские трусы х/б, р.48-50",,разные цвета,40,17,беж
Т97,"Трусы с утяжкой (Германия), белые, бежевые",р.100,"белый, бежевый",160,14,бел.
Т99,"Ажурные стринги с выбитым узором, р. 85-103 (L-XL)",LV107,белый,25,19,1
Т100,"Ажурные стринги с выбитым узором, р. 85-103 (L-XL)",LV107,бежевый,25,17,1
Т101,"Ажурные стринги ""Тюльпан"" M, L, XL",LV151,белый,25,22,1
Т102,"Женские трусики стринги вязка с узором, р.44-48",LV2233,"черный, бежевый",20,24,чер
Т103,Трусики-бразильяны кружевные черного цвета. Код: Т103,614,черный,80,13,M
Т104,"Мужские боксеры Columbia, 2XL, 3XL. Код: Т104",U78,"сер,бел,гол,син,черн",200,14,3XL
Т105,"Мужские боксеры Diesel, L, XL, 2XL, 3XL. Код: Т105",,"крас,сер,бел,син,черн",200,15,L
Т110,"Боксеры Lacoste, L, XL, 2XL, 3XL. Код: Т110",U7,"зел,черн",200,13,ч. L
Т111,"Трусики-танга, р. 40-42-44 (L-XL)",571-60,черный,25,15,1
Т113,"Трусы х/б (Италия), белые, р.50-52",28118,белый,65,13,XL
Т115,"Трусы ""Однотонные гипюровый кант"" р. 46-50",161с,разные цвета,40,13,роз.3XL
Т116,"Трусики слипы микрофибра, XL, 2XL, 3XL. Код: Т116",А858,разные,150,21,XL
Т117,Трусики бикини в полоску р. 46-48 (2XL),052с,разные цвета,35,20,фиол
Т119,Модные трусики с тонкой боковой резинкой. Код: Т119,CHLX 111,разные цвета,160,13,крас.XL
Т120,Шикарные ажурные трусики. Код: Т120,2203,"чер,бел,крас,молоч,фуксия",180,30,ф.S
Т121,"Трусики х/б с гипюром разных цветов, р.46-50 (XL-2XL)",5801,разные цвета,45,14,мал .2XL
Т123,"Хлопковые трусики ""Гипюровая полоса"" р. XL-2XL",058с,разные цвета,40,14,желт.XL
Т126,Сексуальные трусики с открытым доступом. Код: Т126,,черный,240,13,S-XL
Т128,Трусики с открытым доступом. Код: Т128,,черный,240,13,S-XL
Т129,"Трусики слипы PINK, M, L. Код: Т129",1202,"черн,розов",180,13,ч.L
Т133,Черные трусики стринги Coeur Joie. Код: Т133,1891,"черн,беж",180,17,беж.M
Т135,"Молочные трусики стринги, L, XL, 2XL. Код: Т135",9767,молочный,180,13,м.L
Т136,"Атласные бразилианы, все цвета, L, XL, 2XL. Код: Т136",919,разные цвета,100,14,L
Т137,Женские хлопковые трусы-слип 46-50 (218),054с,разные цвета,40,13,малин
Т138,"Трусики бикини, три цвета. Код: Т138",1873,"пуд,мол",180,15,м.L
Т139,"Гладкие трусики бикини, S, M, L, XL. Код: Т139",9606,"чер,бел,лео",180,26,б.S
Т140,Трусики 40-50 (0542),167с,разные цвета,40,14,бел.М
Т142,"Три цвета, трусики бикини, S, M, L, XL. Код: Т142",1923,"беж,мол,пуд,чер",180,18,беж.L
Т143,"Красивые трусики, два цвета, M, L, XL, 2XL. Код: Т143",1969,"бел, пудра",180,23,бел.L
Т144,"Трусики бразильяны, два цвета, L, XL, 2XL. Код: Т144",9908,"бел,чер",170,13,б.M
Т148,"Красные трусики стринг эротические, р.42-44. Код: Т148",826т,красный,120,13,42-44
Т150,"Черные трусики бикини, S, M, L, XL. Код: Т150",2273,"мол,чер,пуд,крас",195,23,ч.S
Т151,Гипюровые трусы шорты,006т,разные цвета,38,13,фиол.M
Т152,"Черные трусики бикини, S, M, L, XL. Код: Т152",2280,"чер, крас, бел",180,16,ч.S
Т154,"Трусы стринги ""Пятнистые"" р. 46-50",037т,разные цвета,40,18,беж.XL
Т155,"Трусики бикини, три цвета. Код: Т155",2219,"крас, бел",180,19,б.S
Т156,Черные трусики бикини. Код: Т156,2267,"черн,моло,бел",180,21,м.M
